2022-02-07 21:20:31.414 [Thread-0] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@23577b8d
2022-02-07 21:20:31.414 [Thread-3] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@331d6441
2022-02-07 21:20:31.414 [Thread-12] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@4ffdcdd3
2022-02-07 21:20:31.414 [Thread-38] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@b360a93
2022-02-07 21:20:31.414 [Thread-71] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@58764eee
2022-02-07 21:20:31.414 [Thread-90] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@61c7ad93
2022-02-07 21:20:31.414 [Thread-92] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@31a57346
2022-02-07 21:20:31.414 [Thread-89] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@2f71ea7b
2022-02-07 21:20:31.414 [Thread-14] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@7aed11f7
2022-02-07 21:20:31.414 [Thread-15] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@5f3d283
2022-02-07 21:20:31.414 [Thread-11] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@20c0cd82
2022-02-07 21:20:31.414 [Thread-57] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@10ddb982
